ID	CLASS
11AS	1
11BG	5
12AS	1
1A07	4
1A08	4
1A0H	3
1A17	3
1A1E	4
1A27	1
1A2P	5
1A33	5
1A3A	4
1A3S	1
1A48	1
1A4I	3
1A4S	1
1A58	5
1A5C	6
1A5P	3
1A5Q	3
1A6J	4
1A6X	1
1A73	5
1A79	5
1A7U	3
1A7X	2
1A81	2
1A88	3
1A8H	1
1A9O	2
1A9P	2
1A9Q	2
1A9R	2
1A9S	2
1A9T	2
1AAT	2
1AB2	2
1ABL	2
1ABO	4
1ACO	4
1AD5	2
1AFK	3
1AFL	5
1AFU	3
1AGI	3
1AGN	1
1AGW	4
1AK2	2
1AK4	2
1AKA	2
1AKB	2
1AKC	2
1AKZ	3
1ALD	6
1AMA	2
1AMI	4
1AMJ	4
1AMK	2
1AMY	5
1AN9	1
1APM	4
1APO	3
1APY	3
1APZ	3
1AQH	5
1AQP	5
1AST	3
1ATN	3
1AUE	2
1AUK	3
1AUS	6
1AUW	4
1AVG	3
1AVN	6
1AVZ	4
1AW0	3
1AWK	4
1AWN	4
1AWO	2
1AY7	5
1AYZ	1
1AZ3	5
1AZ4	5
1AZM	6
1AZS	4
1B0F	3
1B0L	3
1B0Z	2
1B1X	3
1B2M	5
1B2S	5
1B2U	5
1B2X	5
1B2Z	5
1B3S	5
1B47	6
1B4F	2
1B4K	6
1B6V	3
1B7U	3
1B7Z	3
1B85	3
1B8N	2
1B8O	2
1B94	5
1B96	5
1B9B	2
1BAN	5
1BAO	5
1BAW	3
1BBR	3
1BBU	1
1BBW	1
1BBZ	2
1BCK	2
1BDY	4
1BEL	3
1BEM	3
1BG7	1
1BGB	5
1BH5	4
1BHH	4
1BHM	5
1BHS	1
1BIA	1
1BIB	1
1BK7	5
1BKA	3
1BKC	3
1BKJ	3
1BLF	3
1BLL	3
1BLU	3
1BMF	3
1BMU	3
1BNE	5
1BNI	5
1BNJ	5
1BNK	3
1BO1	2
1BP2	3
1BPL	5
1BPM	3
1BPN	3
1BPQ	3
1BPV	2
1BPW	1
1BRG	5
1BRH	5
1BRJ	5
1BRN	5
1BS2	1
1BSR	5
1BSS	5
1BSU	5
1BTK	4
1BTM	2
1BU1	2
1BUG	3
1BVA	3
1BVM	3
1BVN	5
1BWC	3
1BWK	3
1BWL	3
1BWN	4
1BWP	3
1BWQ	3
1BWR	3
1BYI	1
1BZM	6
1BZQ	3
1C0B	3
1C0C	3
1C44	2
1C4Z	6
1C5F	5
1C72	2
1C74	3
1C8I	3
1C8Q	5
1C8W	3
1C96	4
1C97	4
1C9Q	6
1C9V	5
1C9X	3
1CA4	6
1CA9	6
1CB0	2
